X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
0,1,-63.08491719,-81.148511,,-85.91508281,-93.15082811,-80.93549651,,-84.67933751,-72.7642547,-72.16983438,-87.15082811
0,2,-78.08491719,-87,,,,-85.32160337,,-88.01161633,,-71.50926804,
0,3,-74,,,,,-86,,,-77.58073802,,
0,4,-73.42458594,-84.2284042,,,,-82.35645235,-86,-77.67974535,-77.38272336,-70.98122679,-83.08491719
0,5,-77.32066249,-86,,-84.74524843,-83,-65.84036558,-83.91508281,,-83,-72.73951662,-80
0,6,-83,-79.41926198,,,-86.57541406,-83,-84.32707062,-75.67403996,-84,-89,-74.32936198
0,7,-84,-80.16983438,,-73.40557968,-70,-87.74524843,-85.91508281,-83.40557968,-84,,-71.31117661
0,8,-85,-74.13173754,,-68.08491719,-67.91877907,-100,-81.75248167,-72,,,-66.98669404
