X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
0.0,1.0,-63.08491718893259,-81.0,nan,-85.9150828110674,-93.1508281106741,-80.74204361061759,nan,-84.67933751146072,-72.76425470039331,-72.16983437786519,-87.1508281106741
0.0,2.0,-78.0849171889326,-87.0,nan,nan,nan,-84.98240505264863,nan,-88.0,nan,-71.47651952037491,nan
0.0,3.0,-74.0,nan,nan,nan,nan,-86.0,nan,nan,-77.37110703391679,nan,nan
0.0,4.0,-73.42458594466295,-83.84260630126322,nan,nan,nan,-83.0,-86.0,-77.85928678610026,-77.07408504101059,-71.47184018177839,-83.0849171889326
0.0,5.0,-77.32066248853928,-86.0,nan,-84.74524843320222,-83.0,-65.76047150231503,-83.9150828110674,nan,-83.0,-73.10927493571333,-80.0
0.0,6.0,-83.0,-79.62889296608321,nan,nan,-86.57541405533705,-83.0,-82.99060592606841,-75.24171016404337,-84.0,-89.0,-74.30556378075792
0.0,7.0,-84.0,-80.16983437786519,nan,-73.40557967747188,-70.0,-87.74524843320222,-85.9150828110674,-83.40557967747188,-84.0,nan,-71.33484403878866
0.0,8.0,-85.0,-74.50898339075921,nan,-68.0849171889326,-67.5909206916731,-100.0,-82.0,-72.0,nan,nan,-67.66033124426964
