X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
3.865,8.1,nan,nan,nan,-74.0,-69.75,-84.0,-70.5,nan,nan,nan,-55.666666666666664
5.1,1.36,nan,-75.5,nan,-81.0,-64.66666666666667,nan,-80.0,-84.0,nan,nan,-81.0
7.773,8.098,-77.5,-77.33333333333333,nan,-76.0,-83.5,-76.0,-70.0,-73.5,-74.0,-76.5,-72.5
8.194,5.192,nan,-69.0,nan,-81.0,-77.66666666666667,-78.5,-72.5,-68.0,nan,-83.5,nan
8.9,3.0,-77.5,nan,nan,nan,nan,-82.0,-78.5,-67.0,-75.0,-91.66666666666667,-84.0
