X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
3.865,8.1,-78.0,-84.0, ,-73.39471705717403,-70.725913123605,-82.33966875573036,-70.0849171889326,-87.0, , ,-55.27886472899052
5.1,1.36,-75.0,-69.24036144203103, ,-78.77740396253631,-64.4324118473602, ,-80.0,-84.24582869097755, ,-95.0,-83.49049686640447
7.773,8.098,-78.74524843320222,-76.75588629354232, ,-83.72175121924154,-81.30998704167548,-78.53704252050528,-66.67933751146072,-73.49915518177785,-81.6664393903787,-83.66063122700024,-76.27790786632652
8.194,5.192, ,-69.1048154943472, ,-78.50950313359553,-76.78907752723438,-78.2533264908003,-71.75997947240093,-68.2199295857538,-68.0,-84.74524843320222,-73.0
8.9,3.0,-75.42458594466295,-73.0, ,-79.0, ,-82.11062365772567,-78.0849171889326,-67.3144464830416,-75.04950366548437,-88.78641611900198,-89.81115935494374
