X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
3.865,8.1,-78.0,-84.0,nan,-73.422055514492,-70.48981747599434,-82.33966875573036,-70.0849171889326,-87.0,nan,nan,-55.15431915983157
5.1,1.36,-75.0,-69.86054216304655,nan,-79.16610594380447,-64.57654912981359,nan,-80.0,-84.83016562213481,nan,-95.0,-83.49049686640447
7.773,8.098,-78.74524843320222,-76.87252971999389,nan,-84.40557967747188,-81.28863614794788,-78.30556378075792,-66.67933751146072,-73.9150828110674,-81.64132497707857,-82.99094684050036,-75.91686179948977
8.194,5.192,nan,-69.15722324152081,nan,-78.50950313359553,-76.91678469824997,-78.0849171889326,-71.25475156679778,-68.29323944767172,-68.0,-84.74524843320222,-73.0
8.9,3.0,-75.42458594466295,-73.0,nan,-79.0,nan,-81.99610110872332,-78.0849171889326,-67.47166972456242,-75.0,-89.054890247733,-89.81115935494374
