X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
0,1,-63.5,-82,,-85.5,-89,-75.75,,-88,-76.5,-73,-83
0,2,-78.5,-87,,,,-83.66666667,,-87.33333333,,-76.25,
0,3,-74,,,,,-86,,,-76.66666667,,
0,4,-75.5,-81.66666667,,,,-78.66666667,-86,-77.33333333,-75.33333333,-74,-83.5
0,5,-74,-86,,-83.5,-83,-63.4,-83.5,,-83,-74,-80
0,6,-83,-80.33333333,,,-84.5,-83,-75.33333333,-78.75,-84,-89,-72.5
0,7,-84,-81,,-70.5,-70,-86.5,-85.5,-80.5,-84,,-70.33333333
0,8,-85,-77,,-68.5,-70.8,-100,-80.33333333,-72,,,-62.66666667
