X,Y,RFstar_6126,RFstar_C697,RFstar_F65C,RFstar_10A6,RFstar_4DDC,RFstar_C651,RFstar_5CCE,RFstar_2684,RFstar_EB9D,RFstar_26E1,RFstar_F32C
0.0,1.0,-63.5,-81.0,nan,-85.5,-89.0,-73.33333333333333,nan,-88.0,-76.5,-73.0,-83.0
0.0,2.0,-78.5,nan,nan,nan,nan,-85.5,nan,-89.0,nan,-78.2,nan
0.0,3.0,nan,nan,nan,nan,nan,-86.0,nan,nan,-78.0,nan,nan
0.0,4.0,-75.5,-80.0,nan,nan,nan,-83.0,nan,-79.0,-74.0,-76.0,-83.5
0.0,5.0,-74.0,nan,nan,-83.5,nan,-63.333333333333336,-83.5,nan,nan,-71.0,nan
0.0,6.0,nan,-79.0,nan,nan,-84.5,nan,-69.5,-77.0,nan,nan,-71.66666666666667
0.0,7.0,nan,-81.0,nan,-70.5,-70.0,-86.5,-85.5,-80.5,nan,nan,-70.75
0.0,8.0,nan,-78.33333333333333,nan,-68.5,-70.66666666666667,nan,-82.0,nan,nan,nan,-66.0
